participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
92,nel7r0km,616f727b03e888e0f8213eec,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:15:36.099054,1,,,0.0,92,,0.0,1,1,qd0ydl2t,,,,,0
93,sv2wvcor,5a0b8d4c7ecfc50001be130d,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:03:55.970995,1,,,8.0,93,,0.0,1,1,qd0ydl2t,,,,,0
94,mtpnnixp,5af7094225561e00013acd70,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:03:58.946639,1,,,8.0,94,,0.0,1,1,qd0ydl2t,,,,,0
95,mu9j8amj,5b6259be5256470001bd0c6d,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:03:59.170193,1,,,7.0,95,,0.0,1,1,qd0ydl2t,,,,,0
96,z8jozpro,5eaef287fb863f5c922abad9,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:03:59.412278,1,,,5.0,96,,0.0,1,1,qd0ydl2t,,,,,0
97,sg198n29,5c4684826a7dbc00017c0a87,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:00.393404,1,,,10.0,97,,0.0,1,1,qd0ydl2t,,,,,0
98,lijanq5r,5f969b802a498b000aab2571,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:01.592382,1,,,6.0,98,,0.0,1,1,qd0ydl2t,,,,,0
99,n4wpbh9w,5e24fbd4e1f467771c234e5f,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:02.172850,1,,,9.0,99,,0.0,1,1,qd0ydl2t,,,,,0
100,jvfuq5o8,57d0a0bee3221e00015fe385,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:02.931282,1,,,11.0,100,,0.0,1,1,qd0ydl2t,,,,,0
101,lgcx82ab,5f16f559325a640008bb9a07,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:03.453300,1,,,2.0,101,,0.0,1,1,qd0ydl2t,,,,,0
102,x38cyic5,5ff591cba89e1b000bfb9852,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:03.412675,1,,,0.0,102,,0.0,1,1,qd0ydl2t,,,,,0
103,2yb4bpaa,5a78e410ae9a0b0001a97274,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:03.550935,1,,,0.0,103,,0.0,1,1,qd0ydl2t,,,,,0
104,1ygcliwl,5589c7cefdf99b18bd86cf31,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:04.697536,1,,,10.0,104,,0.0,1,1,qd0ydl2t,,,,,0
105,vw3q8t1s,5bc0ac845a09ea00012e2d30,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:04.705635,1,,,5.0,105,,0.0,1,1,qd0ydl2t,,,,,0
106,mfipp5xl,5c935d881754ba001b25697a,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:05.381755,1,,,10.0,106,,0.0,1,1,qd0ydl2t,,,,,0
107,6hxf6bfi,5adeb4e9f6b58c0001fa70aa,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:08.913389,1,,,2.0,107,,0.0,1,1,qd0ydl2t,,,,,0
108,lsszarjh,5993020a5f49420001caf86b,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:09.095745,1,,,4.0,108,,0.0,1,1,qd0ydl2t,,,,,0
109,ysc121oj,5fefa70c30cadfb105b65915,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:09.638753,1,,,5.0,109,,0.0,1,1,qd0ydl2t,,,,,0
110,jhshxvc7,614e2a0633223cd40a849ee3,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:09.951214,1,,,5.0,110,,0.0,1,1,qd0ydl2t,,,,,0
111,tbcurf3e,588e8b95670d6600012bd8dc,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:10.001510,1,,,15.0,111,,0.0,1,1,qd0ydl2t,,,,,0
112,e3t32v3x,5d37d2861566530016a061de,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:10.477684,1,,,11.0,112,,0.0,1,1,qd0ydl2t,,,,,0
113,mec8hjey,56f7982b35c4760006278c61,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:10.430003,1,,,9.0,113,,0.0,1,1,qd0ydl2t,,,,,0
114,lbbr4acw,6111986f4a5008037f6fe7f5,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:11.361859,1,,,5.0,114,,0.0,1,1,qd0ydl2t,,,,,0
115,ltqflwzf,5f5353ff017c5965165df065,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:12.525692,1,,,4.0,115,,0.0,1,1,qd0ydl2t,,,,,0
116,msuhjscb,6101c2aaf8555a745cfb472b,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:13.803415,1,,,5.0,116,,0.0,1,1,qd0ydl2t,,,,,0
117,cmcp2nj1,61006ef97b3147b00cccf8cd,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:14.443835,1,,,7.0,117,,0.0,1,1,qd0ydl2t,,,,,0
118,yzor1xqf,569cffa09e8363000c3087cd,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:14.906508,1,,,7.0,118,,0.0,1,1,qd0ydl2t,,,,,0
119,mud4eavm,5f03ba3355b1f25f0e07a7ff,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:18.564602,1,,,0.0,119,,0.0,1,1,qd0ydl2t,,,,,0
