session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
qd0ydl2t,20,3g62b71b,7,dictator_human,Results,1639418766,1,0,0
qd0ydl2t,26,lqltbv1w,1,introduction,ID,1639418766,1,0,0
qd0ydl2t,21,mww9m1kw,2,introduction,Introduction,1639418767,1,0,0
qd0ydl2t,5,obx7d1nb,16,ultimatum_human_strategy,Instructions,1639418767,1,0,0
qd0ydl2t,21,mww9m1kw,8,trust_human_strategy,GroupWaitPage,1639418767,1,0,1
qd0ydl2t,22,kvsgoivs,8,trust_human_strategy,GroupWaitPage,1639418767,1,0,1
qd0ydl2t,14,3dumg7cv,22,final_results,FinalResults,1639418768,1,0,0
qd0ydl2t,3,88kiqr9x,11,trust_human_strategy,Belief,1639418771,1,0,0
qd0ydl2t,2,2mxr8wk1,4,dictator_human,Instructions,1639418771,1,0,0
qd0ydl2t,20,3g62b71b,22,final_results,FinalResults,1639418773,1,0,0
qd0ydl2t,6,b6ert0e3,21,ultimatum_human_strategy,Results,1639418774,1,0,0
qd0ydl2t,23,uabtjl8z,16,ultimatum_human_strategy,Instructions,1639418775,1,0,0
qd0ydl2t,27,for23wln,0,,InitializeParticipant,1639418775,1,0,0
qd0ydl2t,11,chd3ixpk,21,ultimatum_human_strategy,Results,1639418775,1,0,0
qd0ydl2t,18,w6ey8iay,19,ultimatum_human_strategy,Decision,1639418776,1,0,0
qd0ydl2t,6,b6ert0e3,22,final_results,FinalResults,1639418776,1,0,0
qd0ydl2t,25,96rtfup6,4,dictator_human,Instructions,1639418776,1,0,0
qd0ydl2t,13,2zkoy2m9,4,dictator_human,Instructions,1639418777,1,0,0
qd0ydl2t,1,u55bqbgq,4,dictator_human,Instructions,1639418778,1,0,0
qd0ydl2t,5,obx7d1nb,17,ultimatum_human_strategy,Offer,1639418778,1,0,0
qd0ydl2t,4,4xdn9uid,9,trust_human_strategy,Instructions,1639418778,1,0,0
qd0ydl2t,10,ftalyn53,9,trust_human_strategy,Instructions,1639418779,1,0,0
qd0ydl2t,4,4xdn9uid,10,trust_human_strategy,Send,1639418783,1,0,0
qd0ydl2t,2,2mxr8wk1,5,dictator_human,Decision,1639418784,1,0,0
qd0ydl2t,11,chd3ixpk,22,final_results,FinalResults,1639418784,1,0,0
qd0ydl2t,2,2mxr8wk1,6,dictator_human,ResultsWaitPage,1639418784,1,0,1
qd0ydl2t,8,q42c5yh6,6,dictator_human,ResultsWaitPage,1639418784,1,0,1
qd0ydl2t,12,yqg8vbsw,16,ultimatum_human_strategy,Instructions,1639418786,1,0,0
qd0ydl2t,2,2mxr8wk1,7,dictator_human,Results,1639418787,1,0,0
qd0ydl2t,26,lqltbv1w,2,introduction,Introduction,1639418787,1,0,0
qd0ydl2t,15,91ezcz1i,9,trust_human_strategy,Instructions,1639418789,1,0,0
qd0ydl2t,8,q42c5yh6,7,dictator_human,Results,1639418789,1,0,0
qd0ydl2t,4,4xdn9uid,11,trust_human_strategy,Belief,1639418789,1,0,0
qd0ydl2t,16,oxvwr0kc,9,trust_human_strategy,Instructions,1639418790,1,0,0
qd0ydl2t,2,2mxr8wk1,22,final_results,FinalResults,1639418791,1,0,0
qd0ydl2t,9,9ryxnrou,12,trust_human_strategy,SendBack,1639418792,1,0,0
qd0ydl2t,9,9ryxnrou,13,trust_human_strategy,ResultsWaitPage,1639418792,1,0,1
qd0ydl2t,3,88kiqr9x,13,trust_human_strategy,ResultsWaitPage,1639418792,1,0,1
qd0ydl2t,19,93hm68l5,1,introduction,ID,1639418793,1,0,0
qd0ydl2t,15,91ezcz1i,10,trust_human_strategy,Send,1639418794,1,0,0
qd0ydl2t,5,obx7d1nb,18,ultimatum_human_strategy,Belief,1639418795,1,0,0
qd0ydl2t,18,w6ey8iay,20,ultimatum_human_strategy,ResultsWaitPage,1639418795,1,0,1
qd0ydl2t,5,obx7d1nb,20,ultimatum_human_strategy,ResultsWaitPage,1639418795,1,0,1
qd0ydl2t,8,q42c5yh6,22,final_results,FinalResults,1639418796,1,0,0
qd0ydl2t,13,2zkoy2m9,5,dictator_human,Decision,1639418796,1,0,0
qd0ydl2t,13,2zkoy2m9,6,dictator_human,ResultsWaitPage,1639418796,1,0,1
qd0ydl2t,25,96rtfup6,6,dictator_human,ResultsWaitPage,1639418796,1,0,1
qd0ydl2t,9,9ryxnrou,14,trust_human_strategy,Results,1639418797,1,0,0
qd0ydl2t,19,93hm68l5,2,introduction,Introduction,1639418797,1,0,0
qd0ydl2t,19,93hm68l5,3,dictator_human,GroupWaitPage,1639418798,1,0,1
qd0ydl2t,26,lqltbv1w,3,dictator_human,GroupWaitPage,1639418798,1,0,1
qd0ydl2t,12,yqg8vbsw,17,ultimatum_human_strategy,Offer,1639418798,1,0,0
